person,path,labels,indoor_outdoor,day_night,season_hint,cat_outdoor_activities,cat_food_drink,cat_cultural,cat_night_life,cat_concerts_shows,cat_casino_gambling,cat_attractions,cat_sporting_events,tokens,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,photo_id
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0050.HEIC,"['beer tasting', 'bar', 'flight of beers', 'indoor gathering', 'menu', 'friends hangout', 'brewery', 'casual setting']",indoor,unknown,unknown,0.0,0.7,0.1,0.1,0.0,0.0,0.05,0.05,"['beer_tasting', 'bar', 'flight_beer', 'indoor_gathering', 'menu', 'friend_hangout', 'brewery', 'casual_setting']",0.10165610909461975,0.5957361459732056,0.10001268237829208,0.10000655055046082,0.10258851200342178,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0064.HEIC,"['Pantheon', 'ancient architecture', 'Roman building', 'night sightseeing', 'historic landmark', 'tourist crowd', 'columns', 'night lights', 'urban tourism']",outdoor,night,unknown,0.05,0.0,0.7,0.1,0.0,0.0,0.15,0.0,"['pantheon', 'ancient_architecture', 'roman_building', 'night_sightseeing', 'historic_landmark', 'tourist_crowd', 'column', 'night_light', 'urban_tourism']",0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0114.JPG,"['gym', 'weightlifting', 'barbell', 'fitness', 'indoor activity']",indoor,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['gym', 'weightlifting', 'barbell', 'fitness', 'indoor_activity']",0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0123.JPG,"['swimming pool', 'outdoor fitness', 'resort', 'casual attire', 'tropical theme', 'leisure activity', 'palm trees', 'sunbathing area']",outdoor,day,unknown,0.65,0.05,0.05,0.05,0.05,0.0,0.15,0.0,"['swimming_pool', 'outdoor_fitness', 'resort', 'casual_attire', 'tropical_theme', 'leisure_activity', 'palm_tree', 'sunbathing_area']",0.10000629723072052,0.5999753475189209,0.1000095084309578,0.10000395774841309,0.10000492632389069,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0160.JPG,"['park', 'greenery', 'outdoor', 'exercise', 'casual', 'trees', 'relaxation']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,"['park', 'greenery', 'outdoor', 'exercise', 'casual', 'tree', 'relaxation']",0.7333135008811951,0.06667318195104599,0.06667192280292511,0.06667008250951767,0.06667132675647736,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0173.HEIC,"['concert', 'live performance', 'stage lights', 'crowd', 'music', 'big screen', 'night event', 'audience cheering']",outdoor,night,unknown,0.0,0.0,0.1,0.4,0.5,0.0,0.0,0.0,"['concert', 'live_performance', 'stage_light', 'crowd', 'music', 'big_screen', 'night_event', 'audience_cheering']",0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0217.HEIC,"['sculpture', 'memorial', 'urban park', 'cityscape', 'architecture', 'outdoor art', 'reflection', 'bench', 'trees', 'skyline', 'brick building']",outdoor,day,unknown,0.1,0.0,0.55,0.0,0.0,0.0,0.3,0.05,"['sculpture', 'memorial', 'urban_park', 'cityscape', 'architecture', 'outdoor_art', 'reflection', 'bench', 'tree', 'skyline', 'brick_building']",0.7999853491783142,0.050005313009023666,0.050004180520772934,0.05000259354710579,0.050002604722976685,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0224.HEIC,"['sculpture', 'duck statues', 'public park', 'walking path', 'tourists', 'outdoor art', 'trees', 'cobblestone path']",outdoor,day,unknown,0.3,0.0,0.4,0.0,0.0,0.0,0.3,0.0,"['sculpture', 'duck_statue', 'public_park', 'walking_path', 'tourist', 'outdoor_art', 'tree', 'cobblestone_path']",0.8399878144264221,0.040004417300224304,0.04000344127416611,0.04000215604901314,0.04000216722488403,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0273.HEIC,"['cathedral', 'gothic architecture', 'urban', 'city street', 'tourists', 'historic building', 'landmark', 'trees', 'skyscraper']",outdoor,day,unknown,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,"['cathedral', 'gothic_architecture', 'urban', 'city_street', 'tourist', 'historic_building', 'landmark', 'tree', 'skyscraper']",0.7333154082298279,0.06667310744524002,0.06667187064886093,0.06666981428861618,0.06666982173919678,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0277.HEIC,"['surreal painting', 'art gallery', 'eye', 'clouds', 'framed artwork', 'blue sky', 'gallery wall', 'indoor exhibit']",indoor,unknown,unknown,0.0,0.0,0.85,0.0,0.1,0.0,0.05,0.0,"['surreal_painting', 'art_gallery', 'eye', 'cloud', 'framed_artwork', 'blue_sky', 'gallery_wall', 'indoor_exhibit']",0.5966490507125854,0.10003767907619476,0.10002857446670532,0.10001476109027863,0.10326992720365524,
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0296.HEIC,"['theater', 'playbill', 'ambassador theatre', 'broadway show', 'stage', 'performance', 'audience', 'musical']",indoor,unknown,unknown,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,"['theater', 'playbill', 'ambassador_theatre', 'broadway_show', 'stage', 'performance', 'audience', 'musical']",0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
