person,path,labels,indoor_outdoor,day_night,season_hint,cat_outdoor_activities,cat_food_drink,cat_cultural,cat_night_life,cat_concerts_shows,cat_casino_gambling,cat_attractions,cat_sporting_events
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0050.HEIC,"['beer tasting', 'bar', 'flight of beers', 'indoor gathering', 'menu', 'friends hangout', 'brewery', 'casual setting']",indoor,unknown,unknown,0.0,0.7,0.1,0.1,0.0,0.0,0.05,0.05
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0064.HEIC,"['Pantheon', 'ancient architecture', 'Roman building', 'night sightseeing', 'historic landmark', 'tourist crowd', 'columns', 'night lights', 'urban tourism']",outdoor,night,unknown,0.05,0.0,0.7,0.1,0.0,0.0,0.15,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0114.JPG,"['gym', 'weightlifting', 'barbell', 'fitness', 'indoor activity']",indoor,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0123.JPG,"['swimming pool', 'outdoor fitness', 'resort', 'casual attire', 'tropical theme', 'leisure activity', 'palm trees', 'sunbathing area']",outdoor,day,unknown,0.65,0.05,0.05,0.05,0.05,0.0,0.15,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0160.JPG,"['park', 'greenery', 'outdoor', 'exercise', 'casual', 'trees', 'relaxation']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0173.HEIC,"['concert', 'live performance', 'stage lights', 'crowd', 'music', 'big screen', 'night event', 'audience cheering']",outdoor,night,unknown,0.0,0.0,0.1,0.4,0.5,0.0,0.0,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0217.HEIC,"['sculpture', 'memorial', 'urban park', 'cityscape', 'architecture', 'outdoor art', 'reflection', 'bench', 'trees', 'skyline', 'brick building']",outdoor,day,unknown,0.1,0.0,0.55,0.0,0.0,0.0,0.3,0.05
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0224.HEIC,"['sculpture', 'duck statues', 'public park', 'walking path', 'tourists', 'outdoor art', 'trees', 'cobblestone path']",outdoor,day,unknown,0.3,0.0,0.4,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0273.HEIC,"['cathedral', 'gothic architecture', 'urban', 'city street', 'tourists', 'historic building', 'landmark', 'trees', 'skyscraper']",outdoor,day,unknown,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0277.HEIC,"['surreal painting', 'art gallery', 'eye', 'clouds', 'framed artwork', 'blue sky', 'gallery wall', 'indoor exhibit']",indoor,unknown,unknown,0.0,0.0,0.85,0.0,0.1,0.0,0.05,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0296.HEIC,"['theater', 'playbill', 'ambassador theatre', 'broadway show', 'stage', 'performance', 'audience', 'musical']",indoor,unknown,unknown,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0408.HEIC,"['boat ride', 'river', 'exploration', 'outdoor adventure', 'cloudy sky', 'nature', 'water travel', 'life jackets']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0419.HEIC,"['hiking', 'rocky terrain', 'adventure', 'canyon', 'two people', 'natural landscape', 'desert', 'arid region']",outdoor,day,unknown,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0474.HEIC,"['beach gathering', 'group activity', 'daytime', 'sand', 'casual clothing', 'outdoor fun', 'team event', 'sunny weather']",outdoor,day,unknown,0.6,0.15,0.1,0.0,0.0,0.0,0.15,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0485.HEIC,"['snowboarding', 'skiing', 'snowy landscape', 'ski resort', 'winter sports', 'snowboards', 'friends group', 'cold weather', 'mountain view', 'outdoor recreation']",outdoor,day,winter,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0564.HEIC,"['eclipse', 'tree branches', 'solar event', 'silhouette', 'sky', 'natural phenomenon', 'astronomy']",outdoor,day,unknown,0.6,0.0,0.1,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0623.HEIC,"['pirate costume', 'indoor party', 'group gathering', 'costumes', 'fun atmosphere', 'eye patch', 'pirate theme', 'home decor', 'casual event', 'necklace']",indoor,unknown,unknown,0.0,0.1,0.2,0.3,0.0,0.0,0.1,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0635.heic,"['group selfie', 'mountain view', 'hiking', 'friends hangout', 'outdoor adventure', 'forest', 'scenic overlook']",outdoor,day,autumn,0.7,0.0,0.1,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0816.HEIC,"['aviation', 'museum', 'cockpit', 'educational', 'aircraft', 'aerospace', 'learning', 'interactive exhibit']",indoor,unknown,unknown,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_0959.heic,"['toucan', 'jungle', 'wildlife', 'bird watching', 'nature', 'tropical forest', 'exotic bird', 'branch', 'wildlife photography', 'colorful beak']",outdoor,unknown,unknown,0.6,0.0,0.1,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_1061.HEIC,"['volcano', 'hiking', 'group photo', 'forest', 'scenic view', 'nature', 'outdoors']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_1090.HEIC,"['hiking', 'mountain view', 'nature', 'friends', 'cloudy sky', 'scenic overlook', 'backpacks', 'adventure']",outdoor,day,unknown,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_1144.HEIC,"['group photo', 'mountain view', 'parking lot', 'desert landscape', 'road trip', 'sunny day', 'casual clothing']",outdoor,day,unknown,0.6,0.0,0.1,0.0,0.0,0.0,0.3,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_1187.HEIC,"['party', 'friends hangout', 'ties as headbands', 'drinks', 'indoor garden', 'festive', 'casual attire']",indoor,night,unknown,0.0,0.1,0.0,0.7,0.0,0.0,0.1,0.1
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_1722.HEIC,"['mountain summit', 'hiking', 'friends', 'scenic view', 'winter clothing', 'Bierstadt', 'outdoor adventure', 'rocky terrain', 'clear sky']",outdoor,day,unknown,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2479.HEIC,"['zip lining', 'group photo', 'smiling friends', 'forest canopy', 'harnessed adventure', 'cloudy sky', 'helmets', 'scenic view']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2591.HEIC,"['frisbee', 'outdoor sports', 'grass field', 'trees', 'summer day', 'athletic clothing', 'disc game', 'team sport']",outdoor,day,summer,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2612.HEIC,"['suspension bridge', 'jungle', 'hiking', 'trekking', 'adventure', 'nature', 'rainforest', 'greenery']",outdoor,day,unknown,0.8,0.0,0.05,0.0,0.0,0.0,0.15,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2712.HEIC,"['volcano', 'hiking', 'viewpoint', 'cloudy', 'backpack', 'nature', 'adventure', 'rocky terrain', 'lush landscape']",outdoor,day,unknown,0.8,0.0,0.1,0.0,0.0,0.0,0.1,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2846.HEIC,"['rock climbing', 'red rocks', 'outdoor adventure', 'desert landscape', 'group activity', 'mountain view', 'clear sky', 'hiking gear']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_2852.HEIC,"['rock climbing', 'red rocks', 'outdoor recreation', 'relaxing', 'desert landscape', 'group activity', 'climbing gear', 'sunshine', 'mountain view']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
