album,labels,count
Sample Album,crowd,2
Sample Album,aerial view,1
Sample Album,architecture,1
Sample Album,autumn foliage,1
Sample Album,boats,1
Sample Album,buildings,1
Sample Album,bustling street,1
Sample Album,cars parked,1
Sample Album,cave,1
Sample Album,city atmosphere,1
Sample Album,city skyline,1
Sample Album,cityscape,1
Sample Album,clear sky,1
Sample Album,cloudscape,1
Sample Album,cloudy,1
Sample Album,competitive event,1
Sample Album,daytime photograph,1
Sample Album,dim lighting,1
Sample Album,evening,1
Sample Album,evening event,1
Sample Album,evening sky,1
Sample Album,ferris wheel,1
Sample Album,field lights,1
Sample Album,food stalls,1
Sample Album,forest,1
Sample Album,geology,1
Sample Album,grass area,1
Sample Album,greenery,1
Sample Album,lake,1
Sample Album,market,1
Sample Album,modern cityscape,1
Sample Album,musical performance,1
Sample Album,natural formation,1
Sample Album,nature,1
Sample Album,nature landscape,1
Sample Album,night lighting,1
Sample Album,open stage,1
Sample Album,outdoor amphitheater,1
Sample Album,outdoor event,1
Sample Album,outdoor scenery,1
Sample Album,pathway,1
Sample Album,peaceful environment,1
Sample Album,reflection,1
Sample Album,river,1
Sample Album,rock formation,1
Sample Album,rock formations,1
Sample Album,seating,1
Sample Album,serene,1
Sample Album,shopping,1
Sample Album,silhouette,1
Sample Album,sky view,1
Sample Album,skyline,1
Sample Album,skyline view,1
Sample Album,sports,1
Sample Album,stadium,1
Sample Album,stalactites,1
Sample Album,streetlights,1
Sample Album,sunset,1
Sample Album,tourist site,1
Sample Album,track and field,1
Sample Album,trees,1
Sample Album,underground,1
Sample Album,urban,1
Sample Album,urban street,1
Sample Album,vendors,1
Sample Album,view from airplane,1
Sample Album,walking person,1
Sample Album,water,1
Sample Album,wing of airplane,1
Sample Album,wooden dock,1
