album,filename,path,labels,indoor_outdoor,day_night,season_hint,cat_outdoor_activities,cat_food_drink,cat_cultural,cat_night_life,cat_concerts_shows,cat_casino_gambling,cat_attractions,cat_sporting_events
Sample Album,IMG_1000.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1000.HEIC,"['autumn foliage', 'forest', 'trees', 'nature', 'peaceful environment']",outdoor,day,autumn,0.9,0.0,0.05,0.0,0.0,0.0,0.05,0.0
Sample Album,IMG_1001.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1001.HEIC,"['market', 'crowd', 'shopping', 'food stalls', 'urban', 'bustling street', 'vendors', 'architecture']",mixed,day,unknown,0.05,0.5,0.3,0.05,0.02,0.01,0.06,0.01
Sample Album,IMG_1002.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1002.HEIC,"['rock formations', 'pathway', 'greenery', 'clear sky', 'outdoor scenery', 'nature landscape', 'daytime photograph']",outdoor,day,summer,0.85,0.0,0.05,0.0,0.0,0.0,0.1,0.0
Sample Album,IMG_1003.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1003.HEIC,"['open stage', 'night lighting', 'modern cityscape', 'musical performance', 'grass area', 'outdoor amphitheater', 'skyline view', 'evening event']",outdoor,dusk/dawn,unknown,0.1,0.05,0.3,0.15,0.3,0.0,0.1,0.0
Sample Album,IMG_1004.JPG,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1004.JPG,"['lake', 'wooden dock', 'boats', 'sunset', 'reflection', 'serene', 'water', 'silhouette']",outdoor,dusk/dawn,unknown,0.3,0.0,0.1,0.0,0.0,0.0,0.5,0.1
Sample Album,IMG_1005.JPG,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1005.JPG,"['view from airplane', 'cloudscape', 'aerial view', 'sky view', 'wing of airplane']",outdoor,day,unknown,0.4,0.0,0.1,0.0,0.0,0.0,0.4,0.1
Sample Album,IMG_1006.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1006.HEIC,"['ferris wheel', 'river', 'skyline', 'cloudy']",outdoor,day,summer,0.1,0.05,0.4,0.05,0.05,0.05,0.25,0.05
Sample Album,IMG_1007.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1007.HEIC,"['stadium', 'seating', 'crowd', 'outdoor event', 'track and field', 'city skyline', 'field lights', 'evening', 'competitive event', 'sports']",outdoor,dusk/dawn,unknown,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8
Sample Album,IMG_1008.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1008.HEIC,"['urban street', 'cityscape', 'buildings', 'evening sky', 'walking person', 'cars parked', 'streetlights', 'city atmosphere']",outdoor,dusk/dawn,unknown,0.1,0.05,0.35,0.15,0.1,0.05,0.15,0.05
Sample Album,IMG_1009.HEIC,C:\Users\irone\OneDrive\Desktop\upload_git\travel_recommender\new_run\sample_images\IMG_1009.HEIC,"['cave', 'stalactites', 'dim lighting', 'natural formation', 'underground', 'geology', 'rock formation', 'tourist site']",indoor,unknown,unknown,0.4,0.0,0.5,0.0,0.0,0.0,0.1,0.0
