person,labels,count
Caro's Album,nature,4
Caro's Album,outdoor adventure,4
Caro's Album,trees,4
Caro's Album,group photo,3
Caro's Album,relaxing,3
Caro's Album,architecture,2
Caro's Album,calm water,2
Caro's Album,clear sky,2
Caro's Album,cultural heritage,2
Caro's Album,hiking trail,2
Cass's Album,nature,11
Cass's Album,trees,10
Cass's Album,cloudy sky,6
Cass's Album,blue sky,5
Cass's Album,crowd,5
Cass's Album,landscape,5
Cass's Album,spectators,5
Cass's Album,bridge,4
Cass's Album,calm water,4
Cass's Album,lake,4
Melissa's Album,landmark,3
Melissa's Album,nature,3
Melissa's Album,winter clothing,3
Melissa's Album,audience,2
Melissa's Album,beach,2
Melissa's Album,clear sky,2
Melissa's Album,cloudy sky,2
Melissa's Album,colorful display,2
Melissa's Album,friends,2
Melissa's Album,friends hangout,2
Mike’s Album,hiking,7
Mike’s Album,mountain view,6
Mike’s Album,nature,6
Mike’s Album,trees,5
Mike’s Album,adventure,4
Mike’s Album,friends hangout,4
Mike’s Album,outdoor adventure,4
Mike’s Album,cloudy sky,3
Mike’s Album,desert landscape,3
Mike’s Album,friends,3
Paolo's Album,historic building,6
Paolo's Album,architecture,5
Paolo's Album,city square,3
Paolo's Album,clear sky,3
Paolo's Album,cloudy sky,3
Paolo's Album,daytime,3
Paolo's Album,greenery,3
Paolo's Album,outdoor seating,3
Paolo's Album,blue sky,2
Paolo's Album,boats,2
