title,category,listing_image_url,hero_image_url,detail_url
"14 Things To Do And See In Downtown Houston","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/07/shutterstock_2456508113-1-750x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2024/07/shutterstock_2456508113-1.webp","https://theculturetrip.com/articles/10-locations-to-explore-in-downtown-houston"
"6 Sensational Places to See Fall Foliage in Texas","RECOMMENDATIONS - OUTDOORS","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/09/shutterstock_2233382101-750x375.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2024/09/shutterstock_2233382101.webp","https://theculturetrip.com/articles/where-to-see-fall-foliage-in-texas"
"8 Cool Things to Do in Dallas at Night","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/05/dallas_skyline_ssv4vikottr_luqqryg3xlu18q0ablzbh_rgb_72-750x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2018/05/dallas_skyline_ssv4vikottr_luqqryg3xlu18q0ablzbh_rgb_72.webp","https://theculturetrip.com/articles/8-cool-things-to-do-in-dallas-at-night"
"Quiet Escapes In Houston, Texas","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2022/11/cy-9nug56vat4a-unsplash-667x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2022/11/cy-9nug56vat4a-unsplash.webp","https://theculturetrip.com/articles/10-quiet-escapes-in-houston-tx"
"Best Weekend Getaways From Dallas & Fort Worth","RECOMMENDATIONS - ATTRACTIONS","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/01/shutterstock_2359601831-750x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2025/01/shutterstock_2359601831.webp","https://theculturetrip.com/articles/10-best-weekend-getaways-from-dallas-fort-worth"
"The 8 Most Beautiful Churches And Cathedrals In Texas","RECOMMENDATIONS - ATTRACTIONS","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2025/02/shutterstock_1753644659-e1738701989456-750x422.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2025/02/shutterstock_1753644659-e1738701989456.webp","https://theculturetrip.com/articles/the-8-most-beautiful-churches-and-cathedrals-in-texas"
"The 13 Most Beautiful Places in Texas to Add to Your Bucket List","RECOMMENDATIONS - OUTDOORS","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/12/shutterstock_2381439659-750x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2024/12/shutterstock_2381439659.webp","https://theculturetrip.com/articles/the-13-most-beautiful-places-in-texas-to-add-to-your-bucket-list"
"The 9 Best Things to Do In Deep Ellum, Dallas","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/08/shutterstock_2236778773-e1723539789172-750x422.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2024/08/shutterstock_2236778773-e1723539789172.webp","https://theculturetrip.com/articles/10-fun-things-to-do-in-deep-ellum-dallas"
"10 Awesome Things To Do And See In Harlingen, Texas","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2016/06/2888209853_2cf1bb57b3_o.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2016/06/2888209853_2cf1bb57b3_o.webp","https://theculturetrip.com/articles/the-top-10-things-to-do-and-see-in-harlingen-tx"
"Top 10 Things To Do In El Paso, Texas","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2016/02/el-paso-1180356_1920-940x403.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2016/02/el-paso-1180356_1920.webp","https://theculturetrip.com/articles/the-top-10-things-to-do-in-el-paso-tx"
"8 Best Things To Do in South Dallas","SEE AND DO","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2018/06/sft-18_btcom_media_1080x720_texasstar-750x500.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2018/06/sft-18_btcom_media_1080x720_texasstar.webp","https://theculturetrip.com/articles/8-things-to-do-in-south-dallas"
"5 Things to Do in Houston for Adults","STORIES","https://cdn-v2.theculturetrip.com/10x/wp-content/uploads/2024/08/shutterstock_62555452-750x464.webp?quality=1","https://cdn-v2.theculturetrip.com/1200x630/wp-content/uploads/2024/08/shutterstock_62555452.webp","https://theculturetrip.com/articles/5-cool-places-in-houston-to-have-fun-over-21"
